,Unnamed: 0,Compound ID,IUPAC Name,Canonical SMILES,Hazards,Irritant,HealthHazard,Flammable,EnvironmentalHazard,Corrosive,AcuteToxic,Explosive,CompressedGas,Oxidizer,could_not_collect_grouping_data,key: CCCCCN,key: CCCCCC,key: O,key: S,key: =O,key: CCCCO,key: CCCN,key: CCCSCN,key: =CCON,key: C,key: N,key: CCO,key: CCCCC,key: =C,key: CC,key: CO,key: CS,key: CCCNCN,key: CCNCN,key: CCCC,key: CN,key: CCCCCCCCCCCCCCCCN,key: CCCCS,key: F,key: =CCC,key: B,key: -][O,key: Cl[Hg],key: CCC,key: Cl,key: I,key: CC[Si],key: =CC,key: CCCCN,key: CCNCNS,key: CCCS,key: -].CCCCC[O,key: +[O-].[Co,key: +].[Na+][O-].[Na,key: CCCCCO,key: CCCCNN,key: CCOP,key: =S,key: Br,key: =OCCOC,key: CCCCCCN,key: +][N,key: CCCCCCCCCOCCCCCCCO,key: +],key: CCN,key: .Cl,key: CCCNN,key: CCNCCO,key: Hg][,key: -].O[O,key: CCCO,key: .CCNF,key: CCl,key: =NO,key: CCCCOCCOCCOCCO,key: CCCCCCCCCCCCCCCC,key: CCNCCS,key: .ClC,key: NP,key: OP,key: CCClO,key: =CCCC,key: =CCSCC,key: CCOCN,key: CNCO,key: =C=SCCCCN,key: COP,key: =NN,key: +].[Na+].[Na+].[Na+]O.[Na,key: +]C[N,key: -].[Br-]CC=C.[Br,key: Al]F[,key: CCCSl,key: =N,key: CNCNN,key: +]=[N-]C=[N,key: +]CC[N,key: +]NCC[N,key: -].[Cl-]Cl.[Cl,key: CCCCCCS,key: CCCCCCCCCCCC,key: COO,key: CCCCCCCCCCC,key: BrC,key: CCCCCCC,key: .CO,key: CCCNCCN,key: CCCCCl,key: CCCCCOO,key: CCNO,key: CCNCCN,key: CCCOPO,key: =ON,key: CCCCCCCN,key: =CCCCCOC,key: #NC,key: CCOO,key: -]CC.[Cl,key: =CCBrC,key: +]CCCC[P,key: -]Cl.[Cl,key: CCNCS,key: +]OCC[N,key: -].[I-].[I-]CC.[I,key: =OC,key: CCCCCCCCCCO,key: CCClOCO,key: CSS,key: +]=[N,key: -].[Cl,key: =CN,key: #NNC,key: CCCCCCCCCCCCCCCCCCCCCOCCCCCCCCCCCCCO,key: CCCCCCO,key: CCCCCCCC,key: =CCCCC,key: CO[Si],key: CClCNCN,key: CCCCSP,key: CCCNSN,key: #NCC,key: CCOCCO,key: CCCCl,key: =CSC,key: =CCC=CCCCCCCCCCCCCCC,key: NO,key: CCSCN,key: .CC,key: #CCC,key: =C[Si]C,key: #CC,key: CCCCCCCCCO,key: CCCCCCCCO,key: CCCCCCCCCCCCCCCCCC,key: =COC,key: HH][,key: NS,key: CCCCCCCCOCCOCCOCCOCCO,key: =C=OCCCCN,key: Si][,key: CCCOCCO,key: CCNNO,key: .ClCO,key: =OSN,key: #C,key: Kr][,key: CCCCCCCCOCCOCCOCOCCOCCO,key: CCCl,key: .ClCCCl,key: CCOCO,key: CCCON,key: SS,key: =OCCCCCCC,key: -]C.[I,key: CCCCCCCCCCCCCO,key: CCCCCF,key: CCCCF,key: CCCP,key: CNNNN,key: CCNCCNCN,key: CCNCOCN,key: CCCCCNCCN,key: CCNCNN,key: CCCNCS,key: =NOC,key: CCOCCOCCOCCO,key: CNCON,key: #NCCCCOCCOCCSC,key: P,key: =OCC,key: =CCN,key: CCCCOCCOCCO,key: =COCC,key: #NCCC,key: CCCCCCCCCCSS,key: -][B,key: +]F.CCC[N,key: CCCCCOCCO,key: #NCNCCC,key: CNCNCN,key: CCNNl,key: NN,key: CCNON,key: -]C.Cl.[Cl,key: ACCOCC,key: AsCCCC,key: ACCCCO,key: ]s,key: Ni][,key: .CCO,key: .O,key: =NC,key: =C=NCCCCCCN,key: CCNCO,key: =CCOC,key: =OCCCOC,key: CCCCNCCO,key: +]CCCCCCCCCCCCCCCCCC[N,key: -]CCCCCCCCCCCCCCCCCC.[Cl,key: CCON,key: CCCNNN,key: CCOCCOCO,key: -]CC.F[P,key: CCCCCCCO,key: CCCCNO,key: CCCCNCCN,key: CCCCCCCCCC,key: -]CC.[Br,key: CCCCCCCCCCCCCCO,key: .C,key: CCCSS,key: CP,key: #NOCCC,key: CCOOO,key: =C=ON,key: BrCC,key: =CCO,key: -].CN[S,key: +[S-].[Zn,key: #N.[K+][C-],key: =CCOCC,key: CCCCCCCCC,key: CSP,key: #N,key: -][S,key: +]Cl.[Na,key: CCSN,key: -]CC.[I,key: CCNCNCl,key: CCCCCS,key: CCFCO,key: =ONC,key: CCCOCCOCCO,key: CCOCCOCCOCCOCO,key: CCOCCOCCO,key: -].[O,key: +[O-].[Ca,key: CCCNCCS,key: -].CC[O,key: +[O-].[Al,key: #NCCCC,key: =CClC,key: CCCOCO,key: #CCOCCC,key: CCCClO,key: C[Si],key: CCNOCCO,key: OO,key: CCS,key: CCCSCCN,key: =OCCCCCC,key: BrCCC,key: CCCF,key: =CCCOC,key: CF,key: CCSP,key: CCOCCOCCOCO,key: CNNCS,key: #NC=CC,key: +O.[Mg,key: CCCOCCCOCCCO,key: .Cl.ClCN,key: +].[I-][K,key: O[Se],key: CCCCCCCCCCF,key: .ClN,key: #CCCCCFC,key: CCCCOl,key: CCCCCr,key: CCOCCOCCOCCOCCO,key: .Cl.ClCl,key: =CFC,key: =OCCC,key: .Cl.Cl.Cl.ClCNCCCN,key: CCCOPN,key: CCClN,key: As]C[,key: CCCCCOCCCCO,key: CCCCCi,key: ],key: +].[Na+].[Na+][O-].[Na,key: =CC=CC,key: H[Sb,key: CCCCCCCCCCN,key: =CCNC,key: +]CCCCCCCCCCCCCC[N,key: #NN,key: CCCCCCCCCN,key: =NOCC,key: BBCCC,key: CCrCOO,key: r,key: +].[Na+]O.[Na,key: CCCCCCCCCl,key: =OCCCCCCCCCCCCCCCC,key: CCCCCCCCN,key: =CNN,key: +[O-].[Pb,key: CCCCCCCCCCCCS,key: +]OCCOCC[N,key: CCCCCn,key: CCSNN,key: CON,key: As][,key: CCCOCCN,key: =OO,key: CCCCOCO,key: =CCNCOCC,key: =OCCCCCCCCCCC,key: .CCl,key: =C=CC=CC,key: #CCNCC,key: +][F-].[Na,key: CCF,key: CCCCOCN,key: =C=SCN,key: +].[I-][Na,key: CCCCCCCCCCCCN,key: =CC=O,key: CCO[Si],key: CSCSCS,key: CCNS,key: CCOCCOO,key: CCCCCNN,key: =CCCCN,key: .Br,key: .COSC,key: .ClOC,key: COS,key: +]CCC[N,key: #CCCCC,key: CCCCCCCCCCCCOO,key: =OCOC,key: CCCNON,key: -].[Br,key: CCCCCCCCCCCCCCCCOP,key: +][O-].[Ag,key: CCSCS,key: CCCNCO,key: ==CC=CC,key: +]CCCC.[Na,key: .Br.BrN,key: =NCN,key: =CC=CC=CC=CCC,key: CCNCCNCCNCCNCCN,key: CCCSSCCN,key: ClCl[Zn],key: =CCCCCCC,key: +].[Na+].[Na+]O.[Na,key: +]I.[Na,key: =C=SN,key: CCSS,key: .ClO,key: CCCNCCNCCSCCCNCCO,key: CCCCCCCCCCCO,key: CCCNCCl,key: =NNN,key: COCO,key: CCNCCON,key: #CCClOCC
239,239,7094,cyclohexylcyclohexane,C1CCC(CC1)C2CCCCC2,"Irritant, Health Hazard, Environmental Hazard",1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1677,1677,5033,"16-chloro-17,19-dihydroxy-4-methyl-3,7-dioxatricyclo[13.4.0.06,8]nonadeca-1(15),9,11,16,18-pentaene-2,13-dione",CC1CC2C(O2)C=CC=CC(=O)CC3=C(C(=CC(=C3Cl)O)O)C(=O)O1,"Acute Toxic, Irritant",1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,354,3039,"2,2-dichloroethenyl dimethyl phosphate",COP(=O)(OC)OC=C(Cl)Cl,"Acute Toxic, Irritant, Environmental Hazard, Acute Toxic, Irritant, Environmental Hazard, Acute Toxic, Irritant, Health Hazard, Environmental Hazard, Acute Toxic, Irritant, Health Hazard, Environmental Hazard, Acute Toxic, Irritant, Health Hazard, Environmental Hazard, Health Hazard, Acute Toxic, Environmental Hazard",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1196,8469,ethyl 3-phenyloxirane-2-carboxylate,CCOC(=O)C1C(O1)C2=CC=CC=C2,Irritant,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,237,4284,"N,N-diethyl-3-methylbenzamide",CCN(CC)C(=O)C1=CC=CC(=C1)C,"Irritant, Irritant, Irritant, Irritant, Irritant",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,453,7683,N-(4-bromophenyl)acetamide,CC(=O)NC1=CC=C(C=C1)Br,Irritant,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,5720,2-(6-oxo-5H-benzo[b][1]benzothiepin-3-yl)propanoic acid,CC(C1=CC2=C(C=C1)SC3=CC=CC=C3C(=O)C2)C(=O)O,Irritant,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,1968,6125,disodium;oxalate,C(=O)(C(=O)[O-])[O-].[Na+].[Na+],"Irritant, Corrosive, Irritant, Health Hazard, Irritant",1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,281,5849,"1-methyl-1-[5-(1-methylpyrrolidin-1-ium-1-yl)pentyl]pyrrolidin-1-ium;(2R,3R)-2,3,4-trihydroxy-4-oxobutanoate",C[N+]1(CCCC1)CCCCC[N+]2(CCCC2)C.C(C(C(=O)[O-])O)(C(=O)O)O.C(C(C(=O)[O-])O)(C(=O)O)O,Irritant,1,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,1475,5918,"pyridine-3,4-diamine",C1=CN=CC(=C1N)N,"Acute Toxic, Irritant",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,382,824,2-aminopentanoic acid,CCCC(C(=O)O)N,Irritant,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,829,8452,cyclopentanone,C1CCC(=O)C1,"Flammable, Irritant, Flammable, Irritant, Flammable, Irritant, Flammable, Irritant",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
